Wavelength nm.	promissao_Amostra_09a_vs_Buffer	promissao_Amostra_09b_vs_Buffer	promissao_Amostra_14a_vs_Buffer	promissao_Amostra_14b_vs_Buffer	promissao_Amostra_16a_vs_Buffer	promissao_Amostra_16b_vs_Buffer	promissao_Amostra_17a_vs_Buffer	promissao_Amostra_17b_vs_Buffer	promissao_Amostra_18a_vs_Buffer	promissao_Amostra_18b_vs_Buffer	promissao_Amostra_19a_vs_Buffer	promissao_Amostra_19b_vs_Buffer	promissao_Amostra_21a_vs_Buffer	promissao_Amostra_21b_vs_Buffer	promissao_Ar_vs_Ar_1	promissao_Ar_vs_Ar_2	promissao_Ar_vs_Ar_3	promissao_Ar_vs_Ar_4	promissao_Ar_vs_Buffer_1	promissao_Ar_vs_Buffer_2	promissao_Ar_vs_Buffer_2_2	promissao_Ar_vs_Buffer_3	promissao_Ar_vs_Buffer_3_filtro	promissao_Ar_vs_Buffer_4	promissao_Ar_vs_Buffer_4_filtro	promissao_Ar_vs_Buffer_5	promissao_Ar_vs_Buffer_6	promissao_Ar_vs_Buffer_7	promissao_Ar_vs_Buffer_8
500,00	0,048072	0,048443	0,050422	0,051732	0,069545	0,075329	0,053567	0,060567	0,068227	0,070652	0,059940	0,057886	0,062395	0,053179	-0,000104	0,000086	-0,000032	-0,000065	0,035097	0,034671	0,035147	0,035428	0,036670	0,035803	0,034731	0,035576	0,035445	0,035708	0,034714
501,00	0,048011	0,048381	0,050366	0,051688	0,069387	0,075129	0,053462	0,060426	0,068098	0,070482	0,059806	0,057777	0,062252	0,053090	-0,000084	0,000066	-0,000049	-0,000065	0,035090	0,034679	0,035138	0,035387	0,036665	0,035756	0,034734	0,035547	0,035407	0,035700	0,034695
502,00	0,047906	0,048285	0,050266	0,051593	0,069158	0,074861	0,053325	0,060237	0,067878	0,070250	0,059612	0,057632	0,062073	0,052970	-0,000083	0,000048	-0,000064	-0,000041	0,035077	0,034667	0,035109	0,035352	0,036644	0,035714	0,034721	0,035505	0,035369	0,035691	0,034683
503,00	0,047808	0,048192	0,050170	0,051517	0,068938	0,074598	0,053186	0,060047	0,067677	0,070036	0,059455	0,057484	0,061898	0,052858	-0,000083	0,000026	-0,000063	-0,000014	0,035088	0,034664	0,035103	0,035310	0,036637	0,035663	0,034732	0,035470	0,035344	0,035684	0,034678
504,00	0,047709	0,048089	0,050050	0,051396	0,068726	0,074372	0,053072	0,059872	0,067465	0,069825	0,059318	0,057361	0,061731	0,052736	-0,000087	0,000025	-0,000041	0,000013	0,035081	0,034647	0,035093	0,035301	0,036627	0,035664	0,034709	0,035465	0,035344	0,035653	0,034666
505,00	0,047608	0,047984	0,049939	0,051297	0,068507	0,074145	0,052968	0,059696	0,067287	0,069617	0,059181	0,057215	0,061538	0,052611	-0,000058	0,000023	-0,000021	0,000025	0,035064	0,034664	0,035092	0,035277	0,036625	0,035646	0,034691	0,035449	0,035332	0,035626	0,034643
506,00	0,047537	0,047878	0,049839	0,051204	0,068309	0,073968	0,052872	0,059576	0,067111	0,069433	0,059058	0,057089	0,061365	0,052464	-0,000041	0,000036	-0,000007	0,000023	0,035034	0,034659	0,035078	0,035293	0,036606	0,035674	0,034678	0,035454	0,035327	0,035604	0,034624
507,00	0,047442	0,047764	0,049740	0,051103	0,068089	0,073769	0,052756	0,059430	0,066921	0,069264	0,058904	0,056946	0,061197	0,052349	-0,000027	0,000034	0,000012	0,000017	0,035017	0,034666	0,035064	0,035279	0,036586	0,035665	0,034673	0,035448	0,035326	0,035587	0,034603
508,00	0,047362	0,047655	0,049645	0,051015	0,067884	0,073548	0,052606	0,059282	0,066724	0,069095	0,058773	0,056803	0,061017	0,052201	-0,000032	0,000019	0,000029	-0,000002	0,035013	0,034637	0,035044	0,035256	0,036568	0,035632	0,034673	0,035459	0,035335	0,035558	0,034586
509,00	0,047223	0,047533	0,049520	0,050863	0,067698	0,073320	0,052480	0,059132	0,066519	0,068921	0,058621	0,056678	0,060821	0,052076	-0,000047	0,000003	0,000042	-0,000011	0,034970	0,034605	0,035026	0,035235	0,036536	0,035595	0,034649	0,035458	0,035336	0,035538	0,034562
